Advertising_Budget,Economic_Condition,Price,Sales
6.879295782632695,9,20.72162645347908,15.080651546622619
9.938044793052585,7,33.167398283991254,-6.010452724418742
8.758143152239064,5,27.92238996729836,-8.068433397278412
7.070839029596783,3,29.96155119354677,-12.9632238299657
12.823892243573743,5,26.91702975205168,-5.883827687871106
9.046535713044099,8,33.013748830659424,3.878758456147576
8.439061572206702,4,34.888908260895285,-28.71269630716608
12.14053547029271,8,30.291398250971433,-9.829512247833073
7.4354148082209655,7,38.336635688047586,-22.320968572072204
7.345042197943611,5,28.067492488281232,7.394347227571117
10.252675279174905,6,37.676664174422086,-14.761548412888335
11.724387430908406,3,32.288267638501424,-13.36325146163778
11.393473927819498,3,25.598254601640768,-0.3128606832206833
9.330869630209262,8,32.595964351338644,-8.783588053494956
8.004947871428932,1,25.53464504062783,-23.641297408098016
13.19781658778936,1,34.28997675373564,-8.864144897282648
16.62815069102416,8,26.575962497685982,22.41831703589566
11.975540922070747,6,34.06109922795534,-7.889867097583881
10.247732514987772,5,24.205088978208593,9.955724587250593
11.48557078591179,8,25.95775313479709,2.862970586350059
9.21208829855749,8,32.813772558441116,2.8073281559200467
10.296231635538192,7,33.83968505529139,7.077230810485435
9.175531094405317,4,35.64884172669997,-35.23782837816624
9.678569877978237,4,37.5315979040538,-20.071482306963567
10.279062949531038,3,28.182359088070687,-2.316242234600418
10.570938737329145,1,29.919837638911652,-18.801984081325216
9.437476014784902,1,28.732705995699867,-12.998234270073612
13.421814632154208,8,23.38581791497564,32.61185958581143
9.700466722046428,8,18.408060539378145,23.75332081908962
11.38061343623543,1,33.16633907125063,-24.823793087623038
12.19041902471953,5,27.974820837200664,2.07851211509968
12.676817406434214,9,27.919435786765803,19.037834866612645
7.262036663421671,3,29.318589958113918,-10.06820658310563
10.97285525503966,4,38.01089832626275,-16.225508507224458
11.507043359157706,4,24.912452612795846,-1.2301443288110123
10.726929187134447,7,21.42944166195879,9.08299411207524
9.370579038116173,1,38.05205739830993,-32.58603403437873
12.746562337933227,8,24.72224746103442,0.39387197864130385
8.75116567228683,2,25.521409992700665,-0.5391608609781287
10.751507994904244,8,37.79334869716343,-15.157623239316223
9.5991673695947,4,31.545089080596632,-15.318602941994758
11.486076120517792,5,34.89934936228227,10.493648007686424
11.71472391446963,6,29.905158624625066,-5.274677504276947
6.987621427600683,2,26.498210710636023,-27.70463651608182
6.667295658414297,1,23.607335915916014,-12.493131751726006
9.56201039497004,4,25.19786562138372,-14.172417792138685
9.28228314168245,6,33.333322375997774,-11.521983349274256
10.757055387284293,7,29.594966161307084,-10.229313949604778
11.368430731652323,6,35.835464005721235,-10.484211192903079
7.664287865326489,9,18.021495461900045,22.32701778461582
8.413566762686356,9,29.391325564248962,-11.954576373827704
9.922329207452734,6,20.526706928120873,23.52199015472871
15.410509985824794,4,37.96973171511789,2.4053243642914888
7.017222985488484,7,37.03135200738636,-16.28000296620098
10.19195586411367,7,33.492357366741146,-7.369218050789133
11.049373415798975,2,30.467715939126855,-18.757239055982822
11.631331002808405,1,28.482230260847437,-4.5849407474566855
10.103011607697407,6,29.50928789960769,-11.730783336165223
9.670889280836809,7,26.373622442991557,-12.536127790588601
10.556398832816305,2,37.78516137108577,-38.98605523586298
10.174229403719616,1,35.91677486879083,-7.535769249020211
10.068536738354462,9,30.235182855450564,-4.92510312363785
11.493137832556155,9,21.3693442776554,27.350871231893155
8.112724832418314,6,35.818796708095014,-31.523414318666497
9.508446667011246,2,29.298787105511323,2.1893821487882814
12.216241917069855,2,34.17827641161499,-30.87361770614467
10.078015781025702,3,30.358584097550118,-11.754582670259962
9.573466626828099,1,36.678153073106714,-22.565351161581578
8.21809077250088,8,21.405250431124035,9.768259758745051
9.458707324125085,7,40.34061643242182,-23.933910329260364
10.444487436614994,8,30.97087323777238,11.333983524449032
10.503627194219966,1,19.66499227657112,9.493749887801668
11.415852174611924,3,31.85302717170507,-5.677074601677854
10.987979663013846,7,35.32615137813016,-3.041119301074444
12.942003337943051,1,30.20485478924111,16.02366304289961
8.834761061846859,8,30.521299383790453,-6.413896579573683
14.131638985060343,4,32.84895889801911,6.799770698081007
12.175667773914245,1,25.71711630929776,3.1067087822463404
11.6103780799556,3,41.74784200266627,-19.1155488109954
6.824230321350457,1,31.709851443515948,-26.18684711564396
12.461770999322873,5,20.722606034609512,10.60230108722779
5.253093242753113,6,27.426954430189276,-19.745360750189242
9.937778059759697,8,33.08663435224576,-0.4166419049357586
2.3802192442968737,9,27.21819393490002,-20.875909585541287
9.601900616720403,3,24.266425101744215,-0.20007618316430675
10.700861484465396,8,29.367216618155947,3.202350822897948
9.894898430421991,7,27.07443763975197,-12.364169460309286
8.73143783349873,8,36.757714577104316,-19.285735406481177
9.274137788564264,9,31.77943502535312,4.508228949981026
4.858160478140649,1,20.089677642731758,-23.335905271007498
10.275029479513217,2,38.66780805456231,-19.74721204119962
8.561407625146009,9,24.249263406550327,-3.9018971443956048
11.457045770845534,5,28.867195653203076,-2.786645732239573
13.243490970489884,6,31.132259664705423,-5.6816101822263185
13.043324499542726,2,38.08134454010103,-39.89775339870158
7.386453140668921,1,28.177367739235716,-6.220284051259533
